MMI_DRUG_ID;SCD_RXCUI
54990014;998189
54990015;845515
47286601;310796
50305101;744842
54990016;845507
35470901;833528
54990652;898138
54892771;388520
54990017;1607796
47286701;310797
54394101;314215
54892814;388520
54394201;312836
54803145;483440
47286801;310809
54803141;483448
54803136;483446
54812152;903847
54902473;1310487
54892849;388520
47288101;392657
54892850;388520
54990018;1607784
54990019;1607792
35471101;854901
35471201;854905
54892878;1868014
54939689;833532
54901757;403853
54892953;388520
54990021;1242231
47288201;153777
54990022;602912
54803137;577127
54394301;799056
54394301;845129
54803142;483450
54394401;845127
54394401;799054
54803150;483448
54995482;260243
54990024;602910
50308301;759524
50308301;1291244
54990028;643712
54990027;1428947
35472101;199318
47288301;389135
54990029;643720
54893012;388521
54990031;1607792
47290701;313996
54394801;313002
54395901;309311
54893052;432401
54803135;483440
54803222;199772
54893065;388519
54901805;402109
54396001;309311
54396101;309311
54396201;309311
54893191;388519
54894386;2001565
54894386;1091170
54894386;1091173
54396501;392634
54893264;388521
54947668;1430446
54802952;351257
54972349;997420
54945960;314285
55022290;582671
54990043;1607784
54990599;643712
54990586;643720
47296001;892531
54803134;483438
54802961;351256
35475001;578325
54990558;602912
47296201;895202
54990046;1607792
47296401;311382
54990055;1607792
47298901;978010
54990056;1607784
54903327;1430455
54902402;403884
50309201;2055015
47299501;1091497
47299601;1091150
54990594;1242231
54936225;848145
47299801;1091392
35475501;313406
54948392;1357541
35476101;200371
54802965;349200
35478601;199524
54990568;602910
50309301;2055011
35479701;835956
54803148;483442
54939678;197988
50309401;2054973
54915383;833528
50309501;2054981
50309801;746606
54966593;1741733
54985979;153823
54402301;199689
54402401;199690
35480401;854905
50310001;199560
54990522;602912
54405201;314214
54990064;1607792
54893715;200284
54902444;199362
50314001;1191222
54901910;197805
54990618;845507
54803175;313002
54922486;314072
54990554;602910
54893719;388519
54405501;312835
55010988;997550
54405801;314215
47302001;597850
35480501;854901
54990582;602910
35480601;205322
54406101;312836
54959615;402131
54959615;1998462
54990549;643712
54406401;312834
54959640;349545
54959640;1998451
54990622;602910
54990589;602910
54941419;1592742
54802966;200285
47303601;602393
54902617;351172
54990079;1607796
54409601;314214
54990080;1607792
35480701;205323
54965598;312941
54409801;312835
54944414;904932
54909121;1607784
54990492;616749
54990492;616492
54410001;314215
54960330;360507
54960330;310406
54966398;313777
35481101;197658
47311001;485423
47311001;844918
47311101;844917
47311101;485421
54410201;312836
54990544;643720
54803146;483446
54990561;643720
47314401;597291
54938855;808917
47315101;310796
54990592;602912
35482601;198142
54899897;351172
54990524;643720
54412301;199193
54990091;1607784
54990571;1428947
54412401;905024
54990095;1607796
35482701;197422
54990573;1242231
50329101;860231
35482801;312744
54990098;2478433
35482901;312743
54902448;205322
54990099;1607796
54990588;1428947
47315301;310797
35483001;317174
35483201;854905
47315601;310809
47315901;199206
35483301;854901
54803140;483444
54990110;1607784
54902016;1299021
54990114;1607792
54990590;643712
54902018;197805
54802987;349353
54902043;349287
50331701;197361
35483401;311724
47329501;197806
54990629;284008
54990627;643720
54803151;483450
35484501;198051
54990619;998189
54803139;483442
55040736;308725
54921771;200096
47335401;310430
54989963;844900
54803147;577127
54803144;483438
54894874;753429
54992133;310261
54938124;310431
47335601;310432
54803119;200258
50332301;308135
54902465;859052
54803073;1591943
54947669;1430446
54416301;1482525
54809795;314215
35485101;1091150
54894991;722126
47335801;198370
54990557;602912
55009511;996097
55004814;1011736
55004821;1011739
54990570;602910
50332701;204508
54990591;1428947
54990533;1428947
54990532;643712
55003550;199123
54990597;602910
54990580;602912
54803179;313002
50338001;387003
54957160;309309
54930091;313993
54818851;311289
50338901;248420
54991436;200082
54963279;197797
35491701;200257
35491801;200256
47338201;312199
47338301;312199
54895226;722134
47338501;312199
54427301;200095
54427501;200096
54428101;200256
54803176;313002
54990575;1428947
54428301;200258
54990156;1607792
54943558;205323
54990159;596930
54990159;2200175
54990555;1242231
54895322;722126
54991406;307650
54990537;602910
50350401;200034
50350601;312078
54921757;200095
54921765;200096
54990534;643720
54990547;845515
35493301;200329
50350801;312079
54912743;311204
50351001;314154
55010987;997550
54803177;313002
50351201;312077
54803186;313566
50351401;283639
54972350;997420
35496301;402505
35496301;199379
54990606;602910
54910189;901552
54910189;901550
50372201;829539
50372401;313412
52694701;979485
54986111;901538
54986111;901534
54433601;314214
50372501;313413
54433801;312835
54434001;314215
54990520;602910
54434301;312836
54965613;1232082
52694801;979492
52694901;979480
54962764;314153
54990500;2288414
54990501;2288418
35500501;858804
54803754;483438
54990560;1428947
35500601;858813
54905228;312847
54990548;998189
54902236;1940703
35500701;858817
35500801;858810
50375401;309098
35500901;309097
54940147;309362
54902261;348719
35501101;309098
54990552;643712
54899855;483440
52696001;198051
54990608;1428947
54990550;602910
54803789;483448
35508401;311282
35508501;311282
35508601;311282
50375701;861004
35508701;597195
54902280;197805
54803841;892531
54896007;722134
35510401;310248
54811662;311204
54990521;643712
54441601;200094
54803854;283504
54990602;643720
54441901;200095
35516301;105589
54803755;483440
54442201;200096
54902292;197805
54990623;643712
54899863;483450
54990584;602912
54902294;1939329
54445901;1946772
55013423;857224
54940262;348719
54990546;845507
54896176;349251
54990553;1428947
54446201;1946772
54950268;810000
54902309;197805
54974319;1723476
54446601;1946772
54969068;1433873
54958370;596926
54958370;2200168
54958385;616402
54958385;2200178
54446801;1946772
54969125;744842
54942230;977438
54447101;1946772
54968246;312846
54803761;483450
54990238;388080
54937610;1232086
50379501;308739
54803780;483438
54902315;403943
54990239;1607796
54902324;197805
54449701;200094
54899805;348804
54450001;200095
54450301;200096
55014545;310132
54899804;348805
54956599;197361
35528101;312076
35528301;314155
54968180;859975
50389301;349201
54451001;859981
54902367;248420
54998816;309683
54966436;1244214
54990620;845515
54896510;310230
54990576;602912
35528401;831263
54451501;200094
50396101;312828
54990600;602912
54899833;307731
54451701;200095
54902537;197944
54452001;200096
52709701;902739
52709701;902736
54948915;200060
54803788;483444
52710101;1114482
52710101;1114479
54803853;198052
54803757;577127
52710201;1114485
52710201;1114488
54899806;483325
54840204;314008
52710501;1091839
54899910;616289
54966731;2390644
54961149;1667676
50396801;1010033
54455401;1243046
54966435;1244214
54966598;1741733
54909118;1607784
50397101;106517
54943719;485471
50397201;106517
54803787;483442
54990536;602912
52711701;310346
54902645;197805
52713201;239178
54990257;1607796
54902900;314286
54902903;313778
54902934;2122634
54902902;313777
54458701;200094
54902907;1873983
35529901;198440
54458801;200095
55000432;665019
54960611;199387
54458901;200096
54459101;200094
54459201;200095
54943539;205322
54990507;1095716
54990507;1095712
54459301;200096
54460001;198052
54460101;312086
54460201;283504
55024388;314154
35543401;198640
54460301;283504
52725701;248377
54990267;1607784
54936216;848140
54803883;1592742
54990531;602910
35546801;199369
35546901;389241
55017479;427111
54989977;844900
55017480;427111
52727401;197932
54998850;749206
55016162;314167
54809780;312835
54961211;198440
54988691;799055
54988691;845128
54803844;895202
54988729;799054
54988729;845127
54803860;283504
35547401;309370
54990523;1428947
35547501;358371
54994418;351109
54922489;314072
54990273;1607784
54990274;1607796
35547601;260229
54964725;312078
54951215;314072
54803759;483444
54964123;200220
54803857;312086
55004859;313211
54998838;749206
50402301;311700
54803790;483450
50402401;311702
54943702;310792
50404201;351109
54803467;348804
50404501;252559
54990569;643712
54469201;996561
35550101;198013
54902734;1924313
54469501;996561
54943704;310793
35550201;198014
52742201;199224
54902737;284207
54991434;200082
54990280;1607792
54972907;845507
52747601;863669
54803760;483448
54803488;313566
54990624;1428947
54960679;855172
54990543;1428947
52750801;197805
54990542;643712
54470701;198222
54902901;313776
54803783;483446
54803791;308805
52752501;867502
54943542;205322
54471001;198223
52752801;867508
54472001;310261
55024390;200034
54965695;1422096
54960773;309362
54803758;483442
54990307;1607784
35552801;401968
54990585;643712
52755301;401971
54990310;1607796
54960806;312745
35553601;313406
54803576;284205
54989913;317094
35554101;1000913
54473301;847617
54902911;198440
54961212;1363493
54965668;1422093
54990317;205168
54990317;835925
54902789;403943
54803756;483446
52755401;349405
54473501;309098
54990601;1428947
54990333;1607796
54990338;1607796
54963183;630734
54990512;1012895
54475701;153822
54476001;153823
50412001;198440
54476201;577776
54990541;602912
54990577;1242231
50413901;845128
50413901;799055
54990359;1607784
54999622;312075
35557001;859040
54902908;312075
55000438;1989500
54990365;1607784
54990389;1607792
54803782;483440
54476401;313002
54803784;577127
54960931;848135
54478601;199119
54998851;749206
54962753;861370
35557201;859052
54968216;1244611
50414001;845129
50414001;799056
50414201;845127
50414201;799054
35557301;859044
50414601;309097
54803884;1592750
54961220;1150266
54990516;1552351
54990611;602912
54940239;826612
54903379;314229
54480501;904946
54811185;403853
54481001;314214
54947663;197535
54903805;668363
50425901;153791
54948248;857395
54943718;485471
54481201;312835
54961185;314209
54990610;1242231
54965679;1422096
52769101;996561
35558701;866514
54481401;314215
54803687;248377
35558901;866511
54481601;312836
52769202;996571
54989263;313209
54931941;825421
52769204;996752
54965673;1422093
54901520;198382
54961168;845515
54990607;643712
54961268;197986
54990626;602912
52769201;996561
54965701;1422099
54951165;855194
54903393;1726637
54990572;643712
52769301;283672
54965670;1422093
54962735;616492
54962735;616749
54828017;854801
54803895;1998462
54803895;402131
52769401;200371
52769501;309314
50431601;1314763
54990526;1242231
54990535;1242231
50432301;672149
54803896;349545
54803896;1998451
54803897;349490
54803897;1998454
54803898;1998458
54803898;349553
54988721;845127
