edqm_dose_form,rxnorm_dose_form,has_trac_code,has_trac_term,has_rca_code,has_rca_term,has_amec_code,has_amec_term,has_isic_code,has_isic_term
ophthalmic strip,,42,no transformation                                 ,47,conventional                                      ,4,administration,30,ocular
eye ointment,ophthalmic ointment,42,no transformation                                 ,47,conventional                                      ,4,administration,30,ocular
,opthalmic solution,,,,,,,,
,opthalmic suspension,,,,,,,,
"eye drops, solution",,42,no transformation                                 ,47,conventional                                      ,13,instillation,30,ocular
"eye drops, emulsion",,42,no transformation                                 ,47,conventional                                      ,13,instillation,30,ocular
"eye drops, suspension",,42,no transformation                                 ,47,conventional                                      ,13,instillation,30,ocular
"eye drops, solvent for reconstitution",,41,mixing,47,conventional                                      ,13,instillation,30,ocular
"eye drops, powder for solution",,40,dissolution                                       ,47,conventional                                      ,13,instillation,30,ocular
"eye drops, powder for suspension",,39,dispersion,47,conventional                                      ,13,instillation,30,ocular
eye lotion,,42,no transformation                                 ,47,conventional                                      ,6,bathing/rinsing/washing,30,ocular
"eye lotion, solvent for reconstitution",,41,mixing,47,conventional                                      ,6,bathing/rinsing/washing,30,ocular
intraocular instillation solution,ophthalmic irrigation solution,42,no transformation                                 ,47,conventional                                      ,15,rinsing/washing,30,ocular
solution for intraocular irrigation,,38,dilution,47,conventional                                      ,15,rinsing/washing,30,ocular
concentrate for solution for intraocular irrigation,,38,dilution,47,conventional                                      ,15,rinsing/washing,30,ocular
powder for intraocular instillation solution,,40,dissolution                                       ,47,conventional                                      ,15,rinsing/washing,30,ocular
powder for solution for intraocular irrigation,,40,dissolution                                       ,47,conventional                                      ,15,rinsing/washing,30,ocular
solvent for solution for intraocular irrigation,,41,mixing,47,conventional                                      ,15,rinsing/washing,30,ocular
"eye drops, prolonged-release",,42,no transformation                                 ,45,prolonged,13,instillation,,
ophthalmic insert,,42,no transformation                                 ,45,prolonged,12,insertion,,
,nasal spray,,,,,,,,
"nasal spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,29,nasal
"nasal spray, suspension",,42,no transformation                                 ,47,conventional                                      ,17,spraying,29,nasal
"nasal spray, emulsion",,42,no transformation                                 ,47,conventional                                      ,17,spraying,29,nasal
"nasal/oromucosal spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,29,nasal
nasal/oromucosal solution,,42,no transformation                                 ,47,conventional                                      ,5,application,29,nasal
"nasal spray, solution/oromucosal solution",,42,no transformation                                 ,47,conventional                                      ,5,application/spraying,29,nasal
"nasal spray, powder for solution",,40,dissolution                                       ,47,conventional                                      ,17,spraying,29,nasal
,metered dose nasal spray,,,,,,,,
,nasal inhalant,,,,,,,,
nasal powder,nasal powder,42,no transformation                                 ,47,conventional                                      ,4,administration,29,nasal
nasal cream,,42,no transformation                                 ,47,conventional                                      ,5,application,29,nasal
nasal gel,nasal gel,42,no transformation                                 ,47,conventional                                      ,5,application,29,nasal
nasal ointment,nasal ointment,42,no transformation                                 ,47,conventional                                      ,5,application,29,nasal
nasal wash,,42,no transformation                                 ,47,conventional                                      ,15,rinsing/washing,29,nasal
nasal stick,,42,no transformation                                 ,47,conventional                                      ,5,application/insertion,29,nasal
"nasal drops, solution",nasal solution,42,no transformation                                 ,47,conventional                                      ,13,instillation,29,nasal
"nasal drops, suspension",,42,no transformation                                 ,47,conventional                                      ,13,instillation,29,nasal
"nasal drops, emulsion",,42,no transformation                                 ,47,conventional                                      ,13,instillation,29,nasal
"nasal drops, powder for solution",powder for nasal solution,40,dissolution                                       ,47,conventional                                      ,13,instillation,29,nasal
"endosinusial wash, suspension",,42,no transformation                                 ,47,conventional                                      ,15,rinsing/washing,29,nasal
endosinusial solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,29,nasal
powder for endosinusial solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,29,nasal
solution for provocation test,,42,no transformation                                 ,47,conventional                                      ,20,not specified,29,nasal/ocular/pulmonary
cachet,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
,oral capsule,,,,,,,,
"capsule, hard",,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
"capsule, soft",,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
tablet,oral tablet,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
coated tablet,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
film-coated tablet,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
coated granules,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
tablet with sensor,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
granules,oral granules,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral
"chewable capsule, soft",,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral
chewable tablet,chewable tablet,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral
"chewable capsule, soft",,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral
chewable tablet,,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral
pillules,,42,no transformation                                 ,47,conventional                                      ,19,administration/swallowing,31,oral/oromucosal
,oral pellet,,,,,,,,
,oral wafer,,,,,,,,
,oral powder,,,,,,,,
oral gel,oral gel,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
oral paste,oral paste,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
oral gum,,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral
medicated chewing-gum,chewing gum,42,no transformation                                 ,47,conventional                                      ,19,chewing/swallowing,31,oral/oromucosal
,oral cream,,,,,,,,
,oral ointment,,,,,,,,
"oral drops, solution",,42,no transformation                                 ,47,conventional                                      ,13,instillation/swallowing,31,oral
"oral drops, suspension",,42,no transformation                                 ,47,conventional                                      ,13,instillation/swallowing,31,oral
"oral drops, emulsion",,42,no transformation                                 ,47,conventional                                      ,13,instillation/swallowing,31,oral
"oral drops, liquid",,42,no transformation                                 ,47,conventional                                      ,13,instillation/swallowing,31,oral
"oral drops, powder for suspension",,39,dispersion                                        ,47,conventional                                      ,13,instillation/swallowing,31,oral
"oral drops, granules for solution",,40,dissolution                                       ,47,conventional                                      ,13,instillation/swallowing,31,oral
oral liquid,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
oral solution,oral solution,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
oral suspension,oral suspension,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
oral emulsion,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
,oral foam,,,,,,,,
syrup,,42,no transformation                                 ,47,conventional                                      ,19,swallowing,31,oral
oral solution/concentrate for nebuliser solution,,,,,,,,,
concentrate for oral suspension,,38,dilution                                          ,47,conventional                                      ,19,swallowing,31,oral
concentrate for oral solution,,38,dilution                                          ,47,conventional                                      ,19,swallowing,31,oral
powder for oral suspension,powder for oral suspension,39,dispersion                                        ,47,conventional                                      ,19,swallowing,31,oral
granules for oral suspension,granules for oral suspension,39,dispersion                                        ,47,conventional                                      ,19,swallowing,31,oral
powder for oral solution,powder for oral solution,40,dissolution                                       ,47,conventional                                      ,19,swallowing,31,oral
granules for oral solution,granules for oral solution,40,dissolution                                       ,47,conventional                                      ,19,swallowing,31,oral
powder for syrup,,40,dissolution                                       ,47,conventional                                      ,19,swallowing,31,oral
granules for syrup,,40,dissolution                                       ,47,conventional                                      ,19,swallowing,31,oral
soluble tablet,,40,dissolution                                       ,47,conventional                                      ,19,swallowing,31,oral
,tablet for oral suspension,,,,,,,,
,oral flakes,,,,,,,,
orodispersible tablet,disintegrating oral tablet,42,no transformation                                 ,47,conventional                                      ,14,orodispersion,31,oral
orodispersible film,oral film,42,no transformation                                 ,47,conventional                                      ,14,orodispersion,31,oral
oral herbal material,,42,no transformation                                 ,47,conventional                                      ,7,chewing,31,oral
chewable/dispersible tablet,,39,dispersion/no transformation                      ,47,conventional                                      ,7,chewing/swallowing,31,oral
oral lyophilisate,,40,dissolution/no transformation                     ,47,conventional                                      ,19,swallowing,31,oral
oral powder,,39,dispersion/dissolution/no transformation          ,47,conventional                                      ,19,swallowing,31,oral
dispersible tablet,,39,dispersion                                        ,47,conventional                                      ,19,swallowing,31,oral
dispersible tablets for dose dispenser,,39,dispersion                                        ,47,conventional                                      ,19,swallowing,31,oral
effervescent granules for oral suspension,,39,dispersion                                        ,47,conventional                                      ,19,swallowing,31,oral
effervescent powder,,39,dispersion/dissolution                            ,47,conventional                                      ,19,swallowing,31,oral
effervescent granules,,39,dispersion/dissolution                            ,47,conventional                                      ,19,swallowing,31,oral
effervescent tablet,effervescent oral tablet,39,dispersion/dissolution                            ,47,conventional                                      ,19,swallowing,31,oral
instant herbal tea,,40,dissolution                                       ,47,conventional                                      ,19,swallowing,31,oral
gastro-resistant granules,,42,no transformation                                 ,44,delayed                                           ,19,swallowing,31,oral
"gastro-resistant capsule, hard",,42,no transformation                                 ,44,delayed                                           ,19,swallowing,31,oral
"gastro-resistant capsule, soft",,42,no transformation                                 ,44,delayed                                           ,19,swallowing,31,oral
gastro-resistant tablet,,42,no transformation                                 ,44,delayed                                           ,19,swallowing,31,oral
gastro-resistant oral suspension,,42,no transformation                                 ,44,delayed                                           ,19,swallowing,31,oral
gastro-resistant powder for oral suspension,,39,dispersion                                        ,44,delayed                                           ,19,swallowing,31,oral
gastro-resistant granules for oral suspension,,39,dispersion                                        ,44,delayed                                           ,19,swallowing,31,oral
prolonged-release granules,,42,no transformation                                 ,45,prolonged                                         ,19,swallowing,31,oral
,extended release oral capsule,,,,,,,,
"prolonged-release capsule, hard",,42,no transformation                                 ,45,prolonged                                         ,19,swallowing,31,oral
"prolonged-release capsule, soft",,42,no transformation                                 ,45,prolonged                                         ,19,swallowing,31,oral
prolonged-release tablet,extended release oral tablet,42,no transformation                                 ,45,prolonged                                         ,19,swallowing,31,oral
prolonged-release oral suspension,extended release suspension,42,no transformation                                 ,45,prolonged                                         ,19,swallowing,31,oral
prolonged-release granules for oral suspension,,39,dispersion                                        ,45,prolonged                                         ,19,swallowing,31,oral
,chewable extended release oral tablet,,,,,,,,
modified-release granules,delayed release oral granules,42,no transformation                                 ,46,modified                                          ,19,swallowing,31,oral
,delayed release oral capsule,,,,,,,,
"modified-release capsule, hard",,42,no transformation                                 ,46,modified                                          ,19,swallowing,31,oral
"modified-release capsule, soft",,42,no transformation                                 ,46,modified                                          ,19,swallowing,31,oral
modified-release tablet,delayed release oral tablet,42,no transformation                                 ,46,modified                                          ,19,swallowing,31,oral
modified-release oral suspension,,42,no transformation                                 ,46,modified                                          ,19,swallowing,31,oral
modified-release granules for oral suspension,,39,dispersion                                        ,46,modified                                          ,19,swallowing,31,oral
oral/rectal solution,,42,no transformation                                 ,47,conventional                                      ,4,administration/swallowing,99906050,oral/rectal
oral/rectal suspension,,42,no transformation                                 ,47,conventional                                      ,4,administration/swallowing,99906050,oral/rectal
concentrate for oral/rectal solution,,38,dilution                                          ,47,conventional                                      ,4,administration/swallowing,99906050,oral/rectal
granules for oral/rectal suspension,,39,dispersion                                        ,47,conventional                                      ,4,administration/swallowing,99906050,oral/rectal
powder for oral/rectal suspension,,39,dispersion                                        ,47,conventional                                      ,4,administration/swallowing,99906050,oral/rectal
,oral spray,,,,,,,,
"oromucosal spray, emulsion",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
