EDQM Dose Form,RxNorm Mapping
Dispersion for injection/infusion,Injectable Suspension
Gas for dispersion for injection/infusion,
Solution for injection/skin-prick test,Injectable Solution
Powder for solution for injection/skin-prick test,
Solution for bee-hive strip,
Solution for use in drinking water/milk,
Powder for solution for fish treatment,
Caplet,
Solution for solution for infusion,
Intramammary gel,
Tablet for cutaneous solution,
Lyophilisate for oral suspension,
Prolonged-release solution for injection,Injectable Solution
Urethral emulsion,
Bee-hive solution,
Powder for bee-hive solution,
Solution for bee-hive solution,
Bee-hive dispersion,
"Oral spray, suspension",
"Concentrate for concentrate for oral spray, suspension",
Oculonasal suspension,
"Lyophilisate for oral spray, suspension",
Emulsion for suspension for injection,
"Nasal spray, lyophilisate for suspension",
Lyophilisate for oculonasal suspension/use in drinking water,
Powder for bee-hive dispersion,
Solution for bee-hive dispersion,
Transdermal ointment,Topical Ointment
Sublingual powder,Sublingual Powder
Oral herbal material,
Solution for cardioplegia/organ preservation,
Powder for vaginal solution,
Intrauterine gel,
Medicinal leech,
Lyophilisate for emulsion for injection,
Tablet with sensor,Oral Tablet
Urethral ointment,
Medicinal larvae,
Prolonged-release dispersion for injection,Injectable Suspension
Sublingual lyophilisate,
extended,
Nebuliser dispersion,
Gastro-resistant oral suspension,Oral Suspension
Prolonged-release oral suspension,Extended Release Suspension
Modified-release oral suspension,Extended Release Suspension
Gastro-resistant powder for oral suspension,
Concentrate for dispersion for injection,
Cutaneous/oromucosal solution,Topical Solution
Oromucosal pouch,
Impregnated cutaneous swab,
Prolonged-release pessary,Vaginal Insert
Oromucosal film,Oral Film
Concentrate for emulsion for injection,
Film-coated granules,Oral Granules
Effervescent tablet for oculonasal suspension,
"Eye drops, prolonged-release solution",Ophthalmic Solution
Concentrate for cutaneous emulsion,
Granules for use in drinking water/milk,
"Mucosal spray, solution",Mucosal Spray
Suspension for gel,
"Oromucosal drops, emulsion",
"Oromucosal drops, solution",Mucous Membrane Topical Solution
"Oromucosal drops, suspension",Oral Suspension
Bee-hive powder,
Prolonged-release chewable tablet,Extended Release Oral Tablet
Powder for prolonged-release oral suspension,Powder for Oral Suspension
Granules for gastro-resistant oral suspension,Granules for Oral Suspension
Powder for gastro-resistant oral suspension,Powder for Oral Suspension
Granules for modified-release oral suspension,Granules for Oral Suspension
Granules for prolonged-release oral suspension,Granules for Oral Suspension
Powder for solution for provocation test,
Implantation gel,
Dispersion for implantation gel,
Solution for implantation gel,
Intracameral implant,
Intravitreal implant,
"Oral suspension, bait",
Sublingual solution,
Granules in capsule for opening,Oral Granules
Oral powder in capsule for opening,Oral Powder
Intravesical delivery system,
Intramammary foam,
Concentrate for intravesical solution/solution for injection,
Pouch,
Chewable/dispersible tablet,
"Concentrate for cutaneous spray, emulsion",Topical Spray
Concentrate for dispersion for infusion,
Concentrate for emulsion for infusion,
Concentrate for intravesical solution,
Concentrate for oral solution,Oral Solution
Concentrate for oral/rectal solution,
Concentrate for peritoneal dialysis solution,
Concentrate for solution for intravesical use,Intravesical Solution
Concentrate for solution for peritoneal dialysis,
Concentrate for spray emulsion,
Concentrate for suspension for infusion,
Cutaneous and nasal ointment,
Cutaneous/ear drops suspension,
Cutaneous/nasal ointment,
Cutaneous/oromucosal/oral solution,
Cutaneous/oromucosal spray,
Cutaneous solution/concentrate for oromucosal solution,
"Cutaneous spray, emulsion",Topical Spray
"Cutaneous spray, ointment",Topical Spray
Dental paste,Paste
Dispersion for infusion,Injectable Suspension
"Ear/eye drops, solution",
"Ear/eye drops, suspension",
Ear/eye ointment,
"Ear/eye/nasal drops, solution",
"Ear/eye/nose drops, solution",
"Ear/nasal drops, suspension",
Effervescent buccal tablet,
Emulsion for injection/infusion,
"Endosinusial wash, suspension",Irrigation Solution
Film coated gastro-resistant tablet,
Gargle/mouthwash,Mouthwash
Gargle/nasal wash,Irrigation Solution
Gastro-resistant coated tablet,Delayed Release Oral Tablet
Gastro-resistant granules for oral suspension,
Gastro-resistant prolonged-release tablet,Delayed Release Oral Tablet
Granules for oral and rectal suspension,
"Granules for oral drops, solution",Granules for Oral Solution
Granules for oral/rectal suspension,Granules for Oral Suspension
Granules for use in drinking water,
Granules for vaginal solution,
Hard capsule with gastro-resistant pellets,
Inhalation impregnated pad,
"Inhalation powder, tablet",Dry Powder Inhaler
"Inhalation vapour, effervescent tablet",
"Inhalation vapour, emulsion",
"Inhalation vapour, impregnated pad",
"Inhalation vapour, impregnated plug",
Intrauterine foam,
Intravesical solution/solution for injection,Injectable Solution
Liquefied gas for dental use,
Lyophilisate for use in drinking water,
Modified-release film-coated tablet,Delayed Release Oral Tablet
Modified-release granules for oral suspension,Granules for Oral Suspension
"Mouthwash, powder for solution",Mouthwash
Muco-adhesive buccal prolonged-release tablet,
Nasal/oromucosal solution,Nasal Solution
"Nasal/oromucosal spray, solution",Nasal Spray
Nasal spray and oromucosal solution,Nasal Spray
"Nasal spray, powder for solution",Nasal Spray
"Nasal spray, solution/oromucosal solution",Nasal Spray
"Oral drops, granules for solution",Granules for Oral Solution
"Oral drops, liquid",
Oral/rectal solution,Oral Solution
Oral/rectal suspension,Oral Suspension
Oral solution/concentrate for nebuliser solution,
Oromucosal patch,
Oromucosal/laryngopharyngeal solution,Oral Solution
Oromucosal/laryngopharyngeal solution/spray,Oral Spray
"Oromucosal/laryngopharyngeal solution/spray, solution",Oral Spray
Powder for concentrate for solution for infusion,
Powder for concentrate for dispersion for infusion,
Powder for concentrate for haemodialysis solution,
Powder for concentrate for intravesical suspension,
Powder for concentrate for solution for haemodialysis,
Powder for concentrate for solution for injection/infusion,
Powder for dental solution,
Powder for epilesional solution,
Powder for implantation suspension,
Powder for intravesical solution,Intravesical Solution
Powder for intravesical solution/solution for injection,
Powder for intravesical suspension,Intravesical Suspension
Powder for mouth wash,Mouthwash
Powder for nebuliser solution/solution for injection/infusion,
Powder for oral/rectal suspension,Powder for Oral Suspension
Powder for solution for injection or infusion,Injectable Solution
Powder for solution for injection/infusion,Injectable Solution
Powder for solution for intravesical use,
Powder for solution for nasal spray,Nasal Spray
Powder for solution/suspension for injection,
Powder for use in drinking water/milk,
Prolonged-release film-coated tablet,
Prolonged-release granules for oral suspension,Granules for Oral Suspension
"Radiopharmaceutical precursor, solution",
Solution for haemodialysis/haemofiltration,
Solution for infusion and oral solution,
Solution for injection/concentrate for solution for infusion,
Solution for injection for euthanasia,
Solution for injection/infusion,Injectable Solution
Solution for injection/infusion/rectal use,
Solution for intraperitoneal use,
Solution for use in drinking water,
Solution for sealant,
Solvent for nasal use,
Suspension for infusion,Injectable Suspension
Suspension for use in drinking water,
Tablet for oral suspension,Tablet for Oral Suspension
Teat dip/spray solution,
Oral suspension for use in drinking water,
Powder for use in drinking water,
Powder for solution for intraocular irrigation,Ophthalmic Irrigation Solution
Solution for intraocular irrigation,Ophthalmic Irrigation Solution
Solvent for solution for intraocular irrigation,
Solvent for solution for infusion,
Dispersion for injection,Injectable Suspension
Concentrate for solution for injection/infusion,Injectable Solution
Inhalation solution,Inhalation Solution
"Oral drops, powder for suspension",Powder for Oral Suspension
