EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10508000,Human and Veterinary,Current,Cutaneous,Shampoo,Medicated Shampoo,ok,,Medicated Shampoo,a medicated liquid soap intended for use on hair,
PDF-10509000,Human and Veterinary,Current,Cutaneous,"Cutaneous spray, solution",Topical Spray,ok,,,a spray intended for use on the skin,
PDF-10510000,Human and Veterinary,Current,Cutaneous,"Cutaneous spray, suspension",Topical Spray,ok,,,a spray intended for use on the skin,
PDF-10511000,Human and Veterinary,Current,Cutaneous,"Cutaneous spray, powder",Powder Spray,ok,,Powder Spray,a powder delivered on the skin as a spray,
PDF-10512000,Human and Veterinary,Current,Cutaneous,Cutaneous liquid,Topical Solution,ok,,,a solution intended for use on a surface (do not use for Oral Solutions),
PDF-10513000,Human and Veterinary,Current,Cutaneous,Cutaneous solution,Topical Solution,ok,,Topical Solution,a solution intended for use on a surface (do not use for Oral Solutions),
PDF-10514000,Human and Veterinary,Current,Cutaneous,Concentrate for cutaneous solution,Topical Solution,ok,,,a solution intended for use on a surface (do not use for Oral Solutions),
PDF-10514500,Human and Veterinary,Current,Cutaneous,Powder for cutaneous solution,,,,,,
PDF-10515000,Human and Veterinary,Current,Cutaneous,Cutaneous suspension,Topical Suspension,ok,,Topical Suspension,a suspension intended for external application on the skin,
PDF-10516000,Human and Veterinary,Current,Cutaneous,Cutaneous emulsion,,,,,,
PDF-10517000,Human and Veterinary,Current,Cutaneous,Cutaneous powder,Topical Powder,ok,,,a powder intended for use on the outside surface of the body,
PDF-10517500,Human and Veterinary,Current,Cutaneous,Cutaneous patch,Medicated Patch,ok,,,an adhesive patch that delivers medication locally to the area beneath the patch (see also Transdermal System and Medicated Tape),
PDF-10518000,Human and Veterinary,Current,Transdermal,Solution for iontophoresis,,,,,,
PDF-10518500,Human and Veterinary,Current,Transdermal,Powder for solution for iontophoresis,,,,,,
PDF-10519000,Human and Veterinary,Current,Transdermal,Transdermal patch,Medicated Patch,ok,,Medicated Patch,an adhesive patch that delivers medication locally to the area beneath the patch (see also Transdermal System and Medicated Tape),
PDF-10520000,Human and Veterinary,Current,Cutaneous,Collodion,,,,,,
PDF-10521000,Human and Veterinary,Current,Cutaneous,Medicated nail lacquer,,,,,,
PDF-10521500,Human and Veterinary,Rejected,Cutaneous,Nail solution,,,,,,
PDF-10522000,Human and Veterinary,Current,"Cutaneous, Transdermal",Poultice,,,,,,
PDF-10523000,Human and Veterinary,Current,Cutaneous,Cutaneous stick,,,,,,
PDF-10524000,Human and Veterinary,Deprecated,Cutaneous,Cutaneous sponge,,,,,,
PDF-10525000,Human and Veterinary,Current,Cutaneous,Impregnated dressing,Medicated Pad,,,,a non-adhesive patch used to apply medication (see also Medicated Patch and Transdermal System),
PDF-10526000,Veterinary only,Deprecated,Cutaneous,Collar,,,,,,
PDF-10526500,Veterinary only,Current,Cutaneous,Medicated collar,,,,,,
PDF-10527000,Veterinary only,Current,Cutaneous,Medicated pendant,,,,,,
